symptom,p1,p2,p3,p4
Fungal infection,Keep affected area clean and dry,Apply antifungal cream,Avoid tight clothing,Consult a dermatologist
Allergy,Avoid known allergens,Take antihistamines,Keep skin moisturized,Consult a doctor if severe
GERD,Avoid spicy and fatty foods,Do not lie down after meals,Elevate head while sleeping,Consult a gastroenterologist
Chronic cholestasis,Follow prescribed medication,Avoid alcohol,Maintain healthy diet,Consult a hepatologist
Drug Reaction,Stop the suspected drug,Inform your doctor,Monitor symptoms closely,Seek medical help if severe
Peptic ulcer disease,Avoid spicy foods,Take prescribed medication,Reduce stress,Consult a doctor
Diabetes,Monitor blood sugar levels,Follow diabetic diet,Exercise regularly,Consult an endocrinologist
Hypertension,Reduce salt intake,Exercise regularly,Manage stress,Consult a physician
Migraine,Rest in a dark quiet room,Avoid triggers,Stay hydrated,Consult a neurologist
Common Cold,Drink warm fluids,Take adequate rest,Use steam inhalation,Consult a doctor if symptoms worsen
